,Date,State/UnionTerritory,Confirmed,Density,Intensity
289,2020-03-22,Ladakh,13,2.8,4.642857142857143
290,2020-03-22,Uttar Pradesh,27,828.0,0.03260869565217391
291,2020-03-22,Uttarakhand,3,189.0,0.015873015873015872
292,2020-03-22,West Bengal,4,1029.0,0.003887269193391642
293,2020-03-23,Andhra Pradesh,7,303.0,0.0231023102310231
294,2020-03-23,Bihar,2,1102.0,0.0018148820326678765
295,2020-03-23,Chhattisgarh,1,189.0,0.005291005291005291
296,2020-03-23,Delhi,29,11297.0,0.0025670531999645923
297,2020-03-23,Gujarat,29,308.0,0.09415584415584416
298,2020-03-23,Haryana,26,573.0,0.04537521815008726
299,2020-03-23,Himachal Pradesh,2,123.0,0.016260162601626018
300,2020-03-23,Karnataka,33,319.0,0.10344827586206896
301,2020-03-23,Kerala,67,859.0,0.0779976717112922
302,2020-03-23,Madhya Pradesh,6,236.0,0.025423728813559324
303,2020-03-23,Maharashtra,74,365.0,0.20273972602739726
304,2020-03-23,Odisha,2,269.0,0.007434944237918215
305,2020-03-23,Puducherry,1,2598.0,0.00038491147036181676
306,2020-03-23,Punjab,21,550.0,0.038181818181818185
307,2020-03-23,Rajasthan,28,201.0,0.13930348258706468
308,2020-03-23,Tamil Nadu,9,555.0,0.016216216216216217
309,2020-03-23,Telengana,32,312.0,0.10256410256410256
310,2020-03-23,Chandigarh,6,9252.0,0.0006485084306095979
311,2020-03-23,Jammu and Kashmir,4,98.0,0.04081632653061224
312,2020-03-23,Ladakh,13,2.8,4.642857142857143
313,2020-03-23,Uttar Pradesh,31,828.0,0.03743961352657005
314,2020-03-23,Uttarakhand,3,189.0,0.015873015873015872
315,2020-03-23,West Bengal,7,1029.0,0.006802721088435374
316,2020-03-24,Andhra Pradesh,8,303.0,0.026402640264026403
317,2020-03-24,Bihar,3,1102.0,0.0027223230490018148
318,2020-03-24,Chhattisgarh,1,189.0,0.005291005291005291
319,2020-03-24,Delhi,30,11297.0,0.0026555722758254403
320,2020-03-24,Gujarat,33,308.0,0.10714285714285714
321,2020-03-24,Haryana,28,573.0,0.04886561954624782
322,2020-03-24,Himachal Pradesh,3,123.0,0.024390243902439025
323,2020-03-24,Karnataka,37,319.0,0.11598746081504702
324,2020-03-24,Kerala,95,859.0,0.11059371362048893
325,2020-03-24,Madhya Pradesh,7,236.0,0.029661016949152543
326,2020-03-24,Maharashtra,89,365.0,0.24383561643835616
327,2020-03-24,Manipur,1,122.0,0.00819672131147541
328,2020-03-24,Odisha,2,269.0,0.007434944237918215
329,2020-03-24,Puducherry,1,2598.0,0.00038491147036181676
330,2020-03-24,Punjab,29,550.0,0.05272727272727273
331,2020-03-24,Rajasthan,32,201.0,0.15920398009950248
332,2020-03-24,Tamil Nadu,15,555.0,0.02702702702702703
333,2020-03-24,Telengana,35,312.0,0.11217948717948718
334,2020-03-24,Chandigarh,7,9252.0,0.0007565931690445309
335,2020-03-24,Jammu and Kashmir,4,98.0,0.04081632653061224
336,2020-03-24,Ladakh,13,2.8,4.642857142857143
337,2020-03-24,Uttar Pradesh,33,828.0,0.03985507246376811
338,2020-03-24,Uttarakhand,4,189.0,0.021164021164021163
339,2020-03-24,West Bengal,9,1029.0,0.008746355685131196
340,2020-03-25,Andhra Pradesh,9,303.0,0.0297029702970297
341,2020-03-25,Bihar,4,1102.0,0.003629764065335753
342,2020-03-25,Chhattisgarh,1,189.0,0.005291005291005291
343,2020-03-25,Delhi,31,11297.0,0.0027440913516862883
344,2020-03-25,Gujarat,38,308.0,0.12337662337662338
345,2020-03-25,Haryana,28,573.0,0.04886561954624782
346,2020-03-25,Himachal Pradesh,3,123.0,0.024390243902439025
